region,year,capture_mass_level
Вологодская область,2006,1976.0
Калининградская область,2006,7.0
Ленинградская область,2006,873.0
Мурманская область,2006,1964.0
Новгородская область,2006,125.0
Псковская область,2006,4.0
г. Санкт-Петербург,2006,42.0
Республика Адыгея,2006,12.0
Республика Калмыкия,2006,0.3
Краснодарский край,2006,647.0
Астраханская область,2006,16.0
Волгоградская область,2006,430.0
Ростовская область,2006,832.0
Республика Дагестан,2006,1.0
Республика Ингушетия,2006,0.1
Кабардино-Балкарская Республика,2006,2.0
Карачаево-Черкесская Республика,2006,301.0
Республика Северная Осетия - Алания,2006,223.0
Ставропольский край,2006,70.0
Республика Башкортостан,2006,766.0
Республика Марий Эл,2006,7.0
Республика Мордовия,2006,495.0
Республика Татарстан,2006,360.0
Удмуртская Республика,2006,33.0
Чувашская Республика,2006,34.0
Кировская область,2006,134.0
Нижегородская область,2006,243.0
Оренбургская область,2006,679.0
Пензенская область,2006,42.0
Самарская область,2006,570.0
Саратовская область,2006,354.0
Ульяновская область,2006,180.0
Курганская область,2006,54.0
Свердловская область,2006,9932.0
Тюменская область,2006,37.0
Челябинская область,2006,5391.0
Республика Алтай,2006,4.0
Республика Бурятия,2006,463.0
Республика Тыва,2006,33.0
Республика Хакасия,2006,196.0
Алтайский край,2006,715.0
Красноярский край,2006,9303.0
Иркутская область,2006,2695.0
Кемеровская область,2006,5122.0
Новосибирская область,2006,934.0
Омская область,2006,1628.0
Томская область,2006,234.0
Республика Саха (Якутия),2006,308.0
Приморский край,2006,2501.0
Хабаровский край,2006,736.0
Амурская область,2006,251.0
Магаданская область,2006,55.0
Сахалинская область,2006,401.0
Еврейская автономная область,2006,79.0
Чукотский автономный округ,2006,42.0
Белгородская область,2007,818.0
Брянская область,2007,759.0
Владимирская область,2007,11.0
Воронежская область,2007,53.0
Ивановская область,2007,49.0
Калужская область,2007,106.0
Костромская область,2007,31.0
Курская область,2007,35.0
Липецкая область,2007,1076.0
Московская область,2007,1175.0
Орловская область,2007,7.0
Рязанская область,2007,374.0
Смоленская область,2007,116.0
Тамбовская область,2007,12.0
Тверская область,2007,26.0
Тульская область,2007,425.0
Ярославская область,2007,61.0
г. Москва,2007,90.0
Республика Карелия,2007,158.0
Республика Коми,2007,298.0
Архангельская область,2007,749.0
Вологодская область,2007,2238.0
Калининградская область,2007,7.0
Ленинградская область,2007,982.0
Мурманская область,2007,2044.0
Новгородская область,2007,93.0
Псковская область,2007,3.0
г. Санкт-Петербург,2007,45.0
Республика Адыгея,2007,5.0
Республика Калмыкия,2007,0.3
Краснодарский край,2007,985.0
Астраханская область,2007,17.0
Волгоградская область,2007,328.0
Ростовская область,2007,755.0
Республика Дагестан,2007,2.0
Республика Ингушетия,2007,0.3
Кабардино-Балкарская Республика,2007,3.0
Карачаево-Черкесская Республика,2007,326.0
Республика Северная Осетия - Алания,2007,225.0
Ставропольский край,2007,69.0
Республика Башкортостан,2007,474.0
Республика Марий Эл,2007,7.0
Республика Мордовия,2007,486.0
Республика Татарстан,2007,391.0
Удмуртская Республика,2007,27.0
Чувашская Республика,2007,26.0
Кировская область,2007,113.0
Нижегородская область,2007,250.0
Оренбургская область,2007,756.0
Пензенская область,2007,45.0
Самарская область,2007,457.0
Саратовская область,2007,388.0
Ульяновская область,2007,176.0
Курганская область,2007,52.0
Свердловская область,2007,9551.0
Тюменская область,2007,36.0
Челябинская область,2007,5109.0
Республика Алтай,2007,4.0
Республика Бурятия,2007,537.0
Республика Тыва,2007,23.0
Республика Хакасия,2007,214.0
Алтайский край,2007,694.0
Красноярский край,2007,9546.0
Иркутская область,2007,2678.0
Кемеровская область,2007,4881.0
Новосибирская область,2007,968.0
Омская область,2007,1633.0
Томская область,2007,213.0
Республика Саха (Якутия),2007,307.0
Приморский край,2007,2353.0
Хабаровский край,2007,633.0
Амурская область,2007,246.0
Магаданская область,2007,49.0
Сахалинская область,2007,511.0
Еврейская автономная область,2007,86.0
Чукотский автономный округ,2007,38.0
Белгородская область,2008,650.0
Брянская область,2008,365.0
Владимирская область,2008,10.0
Воронежская область,2008,43.0
Ивановская область,2008,67.0
Калужская область,2008,108.0
Костромская область,2008,37.0
Курская область,2008,29.0
Липецкая область,2008,980.0
Московская область,2008,1202.0
Орловская область,2008,6.0
Рязанская область,2008,419.0
Смоленская область,2008,143.0
Тамбовская область,2008,11.0
Тверская область,2008,33.0
Тульская область,2008,466.0
Ярославская область,2008,60.0
г. Москва,2008,89.0
Республика Карелия,2008,165.0
Республика Коми,2008,283.0
Архангельская область,2008,1055.0
Вологодская область,2008,2049.0
Калининградская область,2008,20.0
Ленинградская область,2008,825.0
Мурманская область,2008,1684.0
Новгородская область,2008,91.0
Псковская область,2008,4.0
г. Санкт-Петербург,2008,60.0
Республика Адыгея,2008,6.0
Республика Калмыкия,2008,0.3
Краснодарский край,2008,840.0
Астраханская область,2008,20.0
Волгоградская область,2008,237.0
Ростовская область,2008,900.0
Республика Дагестан,2008,2.0
Республика Ингушетия,2008,0.1
Кабардино-Балкарская Республика,2008,2.0
Карачаево-Черкесская Республика,2008,274.0
Республика Северная Осетия - Алания,2008,221.0
Ставропольский край,2008,83.0
Республика Башкортостан,2008,500.0
Республика Марий Эл,2008,6.0
Республика Мордовия,2008,537.0
Республика Татарстан,2008,381.0
Удмуртская Республика,2008,30.0
Чувашская Республика,2008,19.0
Кировская область,2008,84.0
Нижегородская область,2008,246.0
Оренбургская область,2008,914.0
Пензенская область,2008,34.0
Самарская область,2008,294.0
Саратовская область,2008,408.0
Ульяновская область,2008,185.0
Курганская область,2008,153.0
Свердловская область,2008,10597.0
Тюменская область,2008,36.0
Челябинская область,2008,2656.0
Республика Алтай,2008,5.0
Республика Бурятия,2008,1091.0
Республика Тыва,2008,29.0
Республика Хакасия,2008,197.0
Алтайский край,2008,746.0
Красноярский край,2008,9388.0
Иркутская область,2008,3260.0
Кемеровская область,2008,5040.0
Новосибирская область,2008,1048.0
Омская область,2008,1920.0
Томская область,2008,261.0
Республика Саха (Якутия),2008,360.0
Приморский край,2008,2552.0
Хабаровский край,2008,545.0
Амурская область,2008,251.0
Магаданская область,2008,45.0
Сахалинская область,2008,410.0
Еврейская автономная область,2008,71.0
Чукотский автономный округ,2008,33.0
Белгородская область,2009,647.0
Брянская область,2009,345.0
Владимирская область,2009,13.0
Воронежская область,2009,53.0
Ивановская область,2009,67.0
Калужская область,2009,131.0
Костромская область,2009,53.0
Курская область,2009,28.0
Липецкая область,2009,1012.0
Московская область,2009,940.0
