region,year,unemployment_rate
Еврейская автономная область,2010,9.3
Чукотский автономный округ,2010,4.5
Белгородская область,2011,4.3
Брянская область,2011,7.1
Владимирская область,2011,5.7
Воронежская область,2011,6.4
Ивановская область,2011,6.6
Калужская область,2011,5.6
Костромская область,2011,5.1
Курская область,2011,6.3
Липецкая область,2011,4.9
Московская область,2011,3.7
Орловская область,2011,6.3
Рязанская область,2011,7.2
Смоленская область,2011,7.6
Тамбовская область,2011,6.6
Тверская область,2011,6.0
Тульская область,2011,5.3
Ярославская область,2011,5.1
г. Москва,2011,1.4
Республика Карелия,2011,8.4
Республика Коми,2011,8.2
Архангельская область,2011,5.9
Вологодская область,2011,7.3
Калининградская область,2011,9.1
Ленинградская область,2011,4.3
Мурманская область,2011,8.6
Новгородская область,2011,4.9
Псковская область,2011,9.3
г. Санкт-Петербург,2011,2.0
Республика Адыгея,2011,8.4
Республика Калмыкия,2011,14.2
Краснодарский край,2011,5.9
Астраханская область,2011,8.8
Волгоградская область,2011,6.9
Ростовская область,2011,7.3
Республика Дагестан,2011,12.7
Республика Ингушетия,2011,48.1
Кабардино-Балкарская Республика,2011,10.5
Карачаево-Черкесская Республика,2011,9.8
Республика Северная Осетия - Алания,2011,8.3
Ставропольский край,2011,6.0
Республика Башкортостан,2011,7.6
Республика Марий Эл,2011,10.1
Республика Мордовия,2011,5.2
Республика Татарстан,2011,4.7
Удмуртская Республика,2011,6.9
Чувашская Республика,2011,7.8
Кировская область,2011,8.3
Нижегородская область,2011,7.2
Оренбургская область,2011,6.3
Пензенская область,2011,5.4
Самарская область,2011,5.1
Саратовская область,2011,6.0
Ульяновская область,2011,6.8
Курганская область,2011,10.0
Свердловская область,2011,7.2
Тюменская область,2011,5.8
Челябинская область,2011,6.6
Республика Алтай,2011,12.8
Республика Бурятия,2011,9.0
Республика Тыва,2011,17.3
Республика Хакасия,2011,7.2
Алтайский край,2011,8.5
Красноярский край,2011,6.0
Иркутская область,2011,9.1
Кемеровская область,2011,8.1
Новосибирская область,2011,6.8
Омская область,2011,7.9
Томская область,2011,9.1
Республика Саха (Якутия),2011,9.0
Приморский край,2011,8.0
Хабаровский край,2011,6.6
Амурская область,2011,6.0
Магаданская область,2011,4.5
Сахалинская область,2011,7.9
Еврейская автономная область,2011,8.5
Чукотский автономный округ,2011,5.6
Белгородская область,2012,3.7
Брянская область,2012,5.1
Владимирская область,2012,4.4
Воронежская область,2012,5.5
Ивановская область,2012,6.3
Калужская область,2012,4.3
Костромская область,2012,4.8
Курская область,2012,5.1
Липецкая область,2012,3.6
Московская область,2012,2.9
Орловская область,2012,5.3
Рязанская область,2012,4.6
Смоленская область,2012,5.7
Тамбовская область,2012,4.9
Тверская область,2012,5.0
Тульская область,2012,4.6
Ярославская область,2012,3.4
г. Москва,2012,0.8
Республика Карелия,2012,7.0
Республика Коми,2012,6.4
Архангельская область,2012,5.4
Вологодская область,2012,5.8
Калининградская область,2012,7.4
Ленинградская область,2012,3.2
Мурманская область,2012,7.7
Новгородская область,2012,4.1
Псковская область,2012,6.6
г. Санкт-Петербург,2012,1.1
Республика Адыгея,2012,8.1
Республика Калмыкия,2012,13.1
Краснодарский край,2012,5.6
Астраханская область,2012,7.9
Волгоградская область,2012,6.0
Ростовская область,2012,6.0
Республика Дагестан,2012,11.7
Республика Ингушетия,2012,47.7
Кабардино-Балкарская Республика,2012,8.9
Карачаево-Черкесская Республика,2012,8.9
Республика Северная Осетия - Алания,2012,7.9
Ставропольский край,2012,5.4
Республика Башкортостан,2012,6.1
Республика Марий Эл,2012,6.5
Республика Мордовия,2012,4.9
Республика Татарстан,2012,4.1
Удмуртская Республика,2012,6.0
Чувашская Республика,2012,5.9
Кировская область,2012,7.1
Нижегородская область,2012,5.4
Оренбургская область,2012,5.4
Пензенская область,2012,4.9
Самарская область,2012,3.4
Саратовская область,2012,5.4
Ульяновская область,2012,5.6
Курганская область,2012,8.7
Свердловская область,2012,5.8
Тюменская область,2012,5.2
Челябинская область,2012,6.4
Республика Алтай,2012,11.6
Республика Бурятия,2012,7.9
Республика Тыва,2012,18.4
Республика Хакасия,2012,7.9
Алтайский край,2012,6.2
Красноярский край,2012,5.5
Иркутская область,2012,7.8
Кемеровская область,2012,7.1
Новосибирская область,2012,5.6
Омская область,2012,6.9
Томская область,2012,8.4
Республика Саха (Якутия),2012,8.0
Приморский край,2012,6.9
Хабаровский край,2012,6.4
Амурская область,2012,5.3
Магаданская область,2012,3.4
Сахалинская область,2012,7.7
Еврейская автономная область,2012,8.5
Чукотский автономный округ,2012,4.3
Белгородская область,2013,4.0
Брянская область,2013,5.2
Владимирская область,2013,3.8
Воронежская область,2013,4.7
Ивановская область,2013,5.2
Калужская область,2013,4.5
Костромская область,2013,4.9
Курская область,2013,4.6
Липецкая область,2013,3.7
Московская область,2013,2.8
Орловская область,2013,5.8
Рязанская область,2013,4.7
Смоленская область,2013,5.2
Тамбовская область,2013,4.6
Тверская область,2013,5.3
Тульская область,2013,4.2
Ярославская область,2013,4.5
г. Москва,2013,1.7
Республика Карелия,2013,8.2
Республика Коми,2013,7.1
Архангельская область,2013,6.1
Вологодская область,2013,6.1
Калининградская область,2013,5.6
Ленинградская область,2013,4.3
Мурманская область,2013,7.2
Новгородская область,2013,4.6
Псковская область,2013,7.0
г. Санкт-Петербург,2013,1.5
Республика Адыгея,2013,7.9
