region,year,opzh,vrp
Чувашская Республика,2005,66.38,69391.6
Кировская область,2005,64.19,79800.6
Нижегородская область,2005,63.41,299723.7
Оренбургская область,2005,65.0,213138.2
Пензенская область,2005,65.5,74362.7
Самарская область,2005,65.85,401812.2
Саратовская область,2005,65.9,170930.5
Ульяновская область,2005,65.24,80584.4
Курганская область,2005,64.17,50245.8
Свердловская область,2005,64.55,475575.5
Тюменская область,2005,66.76,2215584.4
Челябинская область,2005,64.77,349957.2
Республика Алтай,2005,60.42,8805.8
Республика Тыва,2005,56.01,11662.5
Республика Хакасия,2005,61.2,41727.5
Алтайский край,2005,64.72,135686.4
Красноярский край,2005,63.11,439736.9
Иркутская область,2005,60.43,258095.5
Кемеровская область,2005,61.56,295378.4
Новосибирская область,2005,65.06,235381.8
Омская область,2005,65.17,220686.1
Томская область,2005,65.0,159578.5
Республика Бурятия,2005,60.9,74912.9
Республика Саха (Якутия),2005,64.7,183027.0
Приморский край,2005,62.83,186623.3
Хабаровский край,2005,61.89,161194.4
Амурская область,2005,60.34,76861.2
Магаданская область,2005,62.59,27167.8
Сахалинская область,2005,60.58,121014.1
Еврейская автономная область,2005,59.34,14204.2
Чукотский автономный округ,2005,58.09,12355.4
Белгородская область,2006,69.27,178846.1
Брянская область,2006,65.3,82100.4
Владимирская область,2006,64.44,112841.7
Воронежская область,2006,67.11,166176.5
Ивановская область,2006,64.49,55090.0
Калужская область,2006,66.03,86150.5
Костромская область,2006,64.62,54351.1
Курская область,2006,66.06,104035.7
Липецкая область,2006,66.73,179057.3
Московская область,2006,66.4,934328.9
Орловская область,2006,66.39,64801.6
Рязанская область,2006,65.23,105491.9
Смоленская область,2006,63.01,79043.4
Тамбовская область,2006,66.84,79766.2
Тверская область,2006,62.85,127363.8
Тульская область,2006,64.23,142240.1
Ярославская область,2006,66.11,153251.5
г. Москва,2006,71.81,5260232.8
Республика Карелия,2006,63.79,84228.3
Республика Коми,2006,64.21,218490.7
Архангельская область,2006,64.84,215932.7
Вологодская область,2006,65.36,201939.2
Калининградская область,2006,64.13,103138.7
Ленинградская область,2006,63.06,265260.4
Мурманская область,2006,65.17,158127.0
Новгородская область,2006,62.66,74923.8
Псковская область,2006,61.22,51464.9
