region,year,opzh,vrp,real_wage_index
Республика Ингушетия,2006,76.02,9033.5,104.3
Кабардино-Балкарская Республика,2006,70.14,43309.7,114.1
Карачаево-Черкесская Республика,2006,70.19,23260.1,112.9
Республика Северная Осетия - Алания,2006,70.74,43341.2,112.6
Ставропольский край,2006,68.25,181675.1,114.7
Республика Башкортостан,2006,67.47,505205.8,118.8
Республика Марий Эл,2006,64.82,43663.7,118.1
Республика Мордовия,2006,67.75,57974.2,115.6
Республика Татарстан,2006,69.04,605911.5,116.1
Удмуртская Республика,2006,66.01,164848.5,111.5
Чувашская Республика,2006,66.98,93172.0,117.2
Кировская область,2006,65.8,97047.1,111.0
Нижегородская область,2006,64.6,376180.3,111.4
Оренбургская область,2006,66.17,302808.4,114.4
Пензенская область,2006,67.25,88805.0,110.2
Самарская область,2006,66.57,487713.5,112.9
Саратовская область,2006,67.37,204291.2,119.0
Ульяновская область,2006,66.33,101950.3,113.7
Курганская область,2006,65.52,68434.5,115.2
Свердловская область,2006,66.47,653908.3,112.0
Тюменская область,2006,67.95,2551355.4,105.9
Челябинская область,2006,66.17,446918.0,112.9
Республика Алтай,2006,62.49,11609.4,118.9
Республика Тыва,2006,58.43,15146.8,117.7
Республика Хакасия,2006,64.51,53689.3,111.3
Алтайский край,2006,66.64,173810.5,115.4
Красноярский край,2006,65.58,585881.9,107.7
Иркутская область,2006,63.06,330834.3,112.1
Кемеровская область,2006,63.04,342210.6,109.9
Новосибирская область,2006,66.38,296064.5,115.1
Омская область,2006,66.17,262506.7,112.9
Томская область,2006,66.5,188800.7,107.5
Республика Бурятия,2006,62.43,91712.4,110.9
Республика Саха (Якутия),2006,65.55,206845.0,106.8
Приморский край,2006,64.4,215934.4,111.6
Хабаровский край,2006,63.67,194259.6,102.9
Амурская область,2006,62.23,95090.9,106.7
Магаданская область,2006,63.4,31203.2,108.6
Сахалинская область,2006,62.79,166105.4,110.3
Еврейская автономная область,2006,61.27,17976.8,107.7
Чукотский автономный округ,2006,58.93,15538.0,98.6
Белгородская область,2007,70.33,237013.3,114.8
