,region,year,opzh,vrp,real_wage_index,unemployment_rate,living_wage,capture_mass_level,emissions_mass_level,hospital_beds,doctors,lag_opzh
23,Амурская область,2005,60.34,76861.2,112.7,10.3,3771.0,229.0,104.0,144.2,60.7,65.196
548,Магаданская область,2005,62.59,27167.8,117.9,7.0,4756.0,58.0,29.0,174.7,55.2,62.84
1220,Сахалинская область,2005,60.58,121014.1,113.8,7.6,5118.0,394.0,89.0,146.9,44.0,64.05000000000001
212,Еврейская автономная область,2005,59.34,14204.2,108.9,7.9,3594.0,100.0,28.0,151.9,37.0,67.76
1514,Чукотский автономный округ,2005,58.09,12355.4,110.2,4.4,7365.0,38.0,32.0,241.8,78.8,63.82
87,Белгородская область,2006,69.27,178846.1,112.5,5.6,2901.0,787.0,105.0,110.0,40.7,68.73333333333333
108,Брянская область,2006,65.3,82100.4,112.1,6.8,2873.0,761.0,46.0,127.0,36.8,66.01333333333334
129,Владимирская область,2006,64.44,112841.7,111.1,10.9,3222.0,10.0,27.0,98.1,34.0,65.825
192,Воронежская область,2006,67.11,166176.5,114.2,5.5,2813.0,135.0,67.0,104.7,52.9,66.035
234,Ивановская область,2006,64.49,55090.0,112.6,4.2,3090.0,50.0,44.0,113.6,51.9,64.73
318,Калужская область,2006,66.03,86150.5,110.1,5.6,3197.0,107.0,12.0,112.3,39.0,66.82
402,Костромская область,2006,64.62,54351.1,112.4,5.0,2952.0,53.0,61.0,155.3,37.4,66.47800000000001
486,Курская область,2006,66.06,104035.7,114.3,7.3,2849.0,47.0,29.0,114.8,50.8,65.69600000000001
528,Липецкая область,2006,66.73,179057.3,112.6,4.9,2721.0,1075.0,379.0,130.7,41.3,64.89500000000001
570,Московская область,2006,66.4,934328.9,117.9,3.0,3775.0,1028.0,178.0,110.6,36.3,64.04142857142857
717,Орловская область,2006,66.39,64801.6,115.5,6.0,2629.0,4.0,12.0,121.0,39.7,64.85
1158,Рязанская область,2006,65.23,105491.9,113.5,5.2,2966.0,316.0,131.0,119.2,54.2,64.785
1263,Смоленская область,2006,63.01,79043.4,109.3,8.0,3187.0,169.0,42.0,122.0,59.3,65.94
