region,year,living_wage
Воронежская область,2011,5662.0
Ивановская область,2011,5738.0
Калужская область,2011,5412.0
Костромская область,2011,5962.0
Курская область,2011,5180.0
Липецкая область,2011,5356.0
Московская область,2011,6801.0
Орловская область,2011,4966.0
Рязанская область,2011,5901.0
Смоленская область,2011,6574.0
Тамбовская область,2011,4593.0
Тверская область,2011,5837.0
Тульская область,2011,5493.0
Ярославская область,2011,5518.0
г. Москва,2011,9128.0
Республика Карелия,2011,7228.0
Республика Коми,2011,8226.0
Архангельская область,2011,7722.0
Вологодская область,2011,6346.0
Калининградская область,2011,5955.0
Ленинградская область,2011,5775.0
Мурманская область,2011,8737.0
Новгородская область,2011,5801.0
Псковская область,2011,6113.0
г. Санкт-Петербург,2011,6221.0
Республика Адыгея,2011,5100.0
Республика Калмыкия,2011,5331.0
Краснодарский край,2011,5976.0
Астраханская область,2011,5378.0
Волгоградская область,2011,5742.0
Ростовская область,2011,5824.0
Республика Дагестан,2011,4871.0
Республика Ингушетия,2011,4959.0
Кабардино-Балкарская Республика,2011,4918.0
Карачаево-Черкесская Республика,2011,5081.0
Республика Северная Осетия - Алания,2011,4984.0
Ставропольский край,2011,5802.0
Республика Башкортостан,2011,5407.0
Республика Марий Эл,2011,5114.0
Республика Мордовия,2011,5352.0
Республика Татарстан,2011,5001.0
Удмуртская Республика,2011,5277.0
Чувашская Республика,2011,5247.0
Кировская область,2011,5718.0
Нижегородская область,2011,5950.0
Оренбургская область,2011,5345.0
Пензенская область,2011,5338.0
Самарская область,2011,6420.0
Саратовская область,2011,5271.0
Ульяновская область,2011,5432.0
Курганская область,2011,5570.0
Свердловская область,2011,6513.0
Тюменская область,2011,6325.0
Челябинская область,2011,5552.0
Республика Алтай,2011,5870.0
Республика Бурятия,2011,6229.0
Республика Тыва,2011,5994.0
Республика Хакасия,2011,5895.0
Алтайский край,2011,5943.0
Красноярский край,2011,7028.0
Иркутская область,2011,6086.0
Кемеровская область,2011,5151.0
Новосибирская область,2011,6482.0
Омская область,2011,5258.0
Томская область,2011,6541.0
Республика Саха (Якутия),2011,10028.0
Приморский край,2011,7336.0
Хабаровский край,2011,9039.0
Амурская область,2011,7950.0
Магаданская область,2011,10249.0
Сахалинская область,2011,9864.0
