region,year,emissions_mass_level
Ульяновская область,2012,34.0
Курганская область,2012,41.0
Свердловская область,2012,1129.0
Тюменская область,2012,3520.0
Челябинская область,2012,678.0
Республика Алтай,2012,9.0
Республика Бурятия,2012,100.0
Республика Тыва,2012,20.0
Республика Хакасия,2012,94.0
Алтайский край,2012,216.0
Красноярский край,2012,2583.0
Иркутская область,2012,720.0
Кемеровская область,2012,1360.0
Новосибирская область,2012,225.0
Омская область,2012,240.0
Томская область,2012,323.0
Республика Саха (Якутия),2012,161.0
Приморский край,2012,209.0
Хабаровский край,2012,115.0
Амурская область,2012,127.0
Магаданская область,2012,29.0
Сахалинская область,2012,87.0
Еврейская автономная область,2012,25.0
Чукотский автономный округ,2012,21.0
Белгородская область,2013,118.0
Брянская область,2013,37.0
Владимирская область,2013,32.0
Воронежская область,2013,76.0
Ивановская область,2013,30.0
Калужская область,2013,15.0
Костромская область,2013,50.0
Курская область,2013,38.0
Липецкая область,2013,347.0
Московская область,2013,199.0
Орловская область,2013,24.0
Рязанская область,2013,103.0
Смоленская область,2013,59.0
Тамбовская область,2013,54.0
Тверская область,2013,60.0
Тульская область,2013,181.0
Ярославская область,2013,82.0
г. Москва,2013,66.0
Республика Карелия,2013,119.0
Республика Коми,2013,774.0
Архангельская область,2013,245.0
Вологодская область,2013,499.0
Калининградская область,2013,21.0
Ленинградская область,2013,245.0
Мурманская область,2013,270.0
Новгородская область,2013,45.0
