region,year,vrp
Ярославская область,2006,153251.5
г. Москва,2006,5260232.8
Республика Карелия,2006,84228.3
Республика Коми,2006,218490.7
Архангельская область,2006,215932.7
Вологодская область,2006,201939.2
Калининградская область,2006,103138.7
Ленинградская область,2006,265260.4
Мурманская область,2006,158127.0
Новгородская область,2006,74923.8
Псковская область,2006,51464.9
г. Санкт-Петербург,2006,825102.3
Республика Адыгея,2006,21132.4
Республика Калмыкия,2006,12844.1
Краснодарский край,2006,483950.7
Астраханская область,2006,85112.1
Волгоградская область,2006,252142.7
Ростовская область,2006,340012.5
Республика Дагестан,2006,124153.5
Республика Ингушетия,2006,9033.5
Кабардино-Балкарская Республика,2006,43309.7
Карачаево-Черкесская Республика,2006,23260.1
Республика Северная Осетия - Алания,2006,43341.2
Ставропольский край,2006,181675.1
Республика Башкортостан,2006,505205.8
Республика Марий Эл,2006,43663.7
Республика Мордовия,2006,57974.2
Республика Татарстан,2006,605911.5
Удмуртская Республика,2006,164848.5
Чувашская Республика,2006,93172.0
Кировская область,2006,97047.1
Нижегородская область,2006,376180.3
Оренбургская область,2006,302808.4
Пензенская область,2006,88805.0
Самарская область,2006,487713.5
Саратовская область,2006,204291.2
Ульяновская область,2006,101950.3
Курганская область,2006,68434.5
Свердловская область,2006,653908.3
Тюменская область,2006,2551355.4
Челябинская область,2006,446918.0
Республика Алтай,2006,11609.4
Республика Тыва,2006,15146.8
Республика Хакасия,2006,53689.3
Алтайский край,2006,173810.5
Красноярский край,2006,585881.9
Иркутская область,2006,330834.3
Кемеровская область,2006,342210.6
Новосибирская область,2006,296064.5
Омская область,2006,262506.7
Томская область,2006,188800.7
Республика Бурятия,2006,91712.4
Республика Саха (Якутия),2006,206845.0
Приморский край,2006,215934.4
Хабаровский край,2006,194259.6
Амурская область,2006,95090.9
Магаданская область,2006,31203.2
Сахалинская область,2006,166105.4
Еврейская автономная область,2006,17976.8
Чукотский автономный округ,2006,15538.0
Белгородская область,2007,237013.3
Брянская область,2007,102706.2
Владимирская область,2007,146663.0
Воронежская область,2007,222811.9
Ивановская область,2007,74752.0
Калужская область,2007,111869.0
Костромская область,2007,65700.4
Курская область,2007,128799.0
Липецкая область,2007,209821.5
Московская область,2007,1295649.9
Орловская область,2007,77101.2
Рязанская область,2007,121305.2
Смоленская область,2007,95703.4
Тамбовская область,2007,106039.6
Тверская область,2007,156034.6
Тульская область,2007,174110.9
Ярославская область,2007,186577.5
г. Москва,2007,6696259.1
Республика Карелия,2007,104603.3
Республика Коми,2007,241150.5
Архангельская область,2007,268672.1
Вологодская область,2007,243336.3
Калининградская область,2007,143927.7
Ленинградская область,2007,309028.6
Мурманская область,2007,191584.6
Новгородская область,2007,86664.9
Псковская область,2007,61561.9
г. Санкт-Петербург,2007,1119660.3
Республика Адыгея,2007,29085.1
Республика Калмыкия,2007,17225.8
Краснодарский край,2007,648211.3
Астраханская область,2007,100359.2
Волгоградская область,2007,331766.8
Ростовская область,2007,450434.7
Республика Дагестан,2007,156928.8
Республика Ингушетия,2007,16812.4
Кабардино-Балкарская Республика,2007,48908.7
Карачаево-Черкесская Республика,2007,27469.7
Республика Северная Осетия - Алания,2007,52804.8
Ставропольский край,2007,222239.6
Республика Башкортостан,2007,590054.1
Республика Марий Эл,2007,55069.2
Республика Мордовия,2007,77048.8
Республика Татарстан,2007,757401.4
Удмуртская Республика,2007,205647.4
Чувашская Республика,2007,123453.3
Кировская область,2007,118154.9
Нижегородская область,2007,473307.4
Оренбургская область,2007,370880.9
Пензенская область,2007,119104.0
Самарская область,2007,584968.6
Саратовская область,2007,252867.2
Ульяновская область,2007,124676.2
Курганская область,2007,81076.0
Свердловская область,2007,820792.5
Тюменская область,2007,2758813.1
Челябинская область,2007,575643.7
Республика Алтай,2007,15108.5
Республика Тыва,2007,19384.2
Республика Хакасия,2007,63722.0
Алтайский край,2007,223563.4
Красноярский край,2007,734154.8
Иркутская область,2007,402654.7
Кемеровская область,2007,437790.2
Новосибирская область,2007,365531.2
Омская область,2007,296004.7
Томская область,2007,214487.0
Республика Бурятия,2007,107442.0
Республика Саха (Якутия),2007,242656.5
Приморский край,2007,259041.4
Хабаровский край,2007,231293.2
Амурская область,2007,111761.2
Магаданская область,2007,35314.4
Сахалинская область,2007,286273.0
Еврейская автономная область,2007,23726.1
Чукотский автономный округ,2007,20984.1
Белгородская область,2008,317656.3
Брянская область,2008,125834.4
Владимирская область,2008,175395.7
Воронежская область,2008,287072.1
Ивановская область,2008,86980.3
Калужская область,2008,150394.4
Костромская область,2008,81040.7
Курская область,2008,167865.8
Липецкая область,2008,259532.2
Московская область,2008,1645753.0
Орловская область,2008,96669.9
Рязанская область,2008,150151.2
Смоленская область,2008,121601.3
Тамбовская область,2008,120836.0
Тверская область,2008,192283.0
Тульская область,2008,231730.8
Ярославская область,2008,214946.3
г. Москва,2008,8248652.0
Республика Карелия,2008,115208.2
Республика Коми,2008,291812.1
Архангельская область,2008,289755.9
Вологодская область,2008,294926.2
Калининградская область,2008,179266.7
Ленинградская область,2008,383255.4
Мурманская область,2008,213733.5
Новгородская область,2008,115141.3
Псковская область,2008,73283.2
г. Санкт-Петербург,2008,1431839.6
Республика Адыгея,2008,36134.4
Республика Калмыкия,2008,20789.7
Краснодарский край,2008,803834.1
Астраханская область,2008,147549.1
Волгоградская область,2008,416678.5
Ростовская область,2008,576125.7
Республика Дагестан,2008,216277.2
Республика Ингушетия,2008,19172.9
Кабардино-Балкарская Республика,2008,58093.4
Карачаево-Черкесская Республика,2008,35714.2
Республика Северная Осетия - Алания,2008,57707.4
Ставропольский край,2008,274992.0
Республика Башкортостан,2008,743133.4
Республика Марий Эл,2008,65765.3
Республика Мордовия,2008,94058.3
Республика Татарстан,2008,926056.7
Удмуртская Республика,2008,243135.5
Чувашская Республика,2008,155032.3
Кировская область,2008,151116.7
Нижегородская область,2008,588790.8
Оренбургская область,2008,430023.1
Пензенская область,2008,147853.2
Самарская область,2008,699295.6
Саратовская область,2008,321747.2
Ульяновская область,2008,150680.3
Курганская область,2008,106223.2
Свердловская область,2008,923550.8
Тюменская область,2008,3121401.3
Челябинская область,2008,664492.7
Республика Алтай,2008,18701.0
Республика Тыва,2008,23870.5
Республика Хакасия,2008,72308.8
Алтайский край,2008,259343.1
Красноярский край,2008,737950.5
Иркутская область,2008,438852.4
Кемеровская область,2008,575901.9
Новосибирская область,2008,453574.6
Омская область,2008,347760.3
Томская область,2008,248906.2
Республика Бурятия,2008,124738.5
Республика Саха (Якутия),2008,309518.3
Приморский край,2008,316581.9
Хабаровский край,2008,269178.6
Амурская область,2008,131563.7
Магаданская область,2008,42053.8
Сахалинская область,2008,333581.6
Еврейская автономная область,2008,23977.0
Чукотский автономный округ,2008,30558.7
Белгородская область,2009,304345.3
Брянская область,2009,126477.4
Владимирская область,2009,185824.6
Воронежская область,2009,301729.1
Ивановская область,2009,87061.9
Калужская область,2009,154946.1
Костромская область,2009,78920.7
Курская область,2009,161570.9
Липецкая область,2009,226662.0
Московская область,2009,1519446.3
Орловская область,2009,90623.6
Рязанская область,2009,153634.1
Смоленская область,2009,125348.9
Тамбовская область,2009,136323.9
Тверская область,2009,197687.0
Тульская область,2009,214925.4
Ярославская область,2009,212684.4
г. Москва,2009,7126972.4
Республика Карелия,2009,105924.1
Республика Коми,2009,302629.2
Архангельская область,2009,323606.8
