region,year,opzh
Республика Северная Осетия - Алания,2008,71.45
Ставропольский край,2008,69.68
Республика Башкортостан,2008,68.0
Республика Марий Эл,2008,66.45
Республика Мордовия,2008,68.74
Республика Татарстан,2008,70.05
Удмуртская Республика,2008,67.19
Чувашская Республика,2008,67.84
Кировская область,2008,66.94
Нижегородская область,2008,66.1
Оренбургская область,2008,66.76
Пензенская область,2008,68.67
Самарская область,2008,67.51
Саратовская область,2008,68.39
Ульяновская область,2008,67.89
Курганская область,2008,66.67
Свердловская область,2008,67.75
Тюменская область,2008,68.89
Челябинская область,2008,67.23
Республика Алтай,2008,65.15
Республика Тыва,2008,60.48
Республика Хакасия,2008,66.53
Алтайский край,2008,67.52
Красноярский край,2008,66.94
Иркутская область,2008,65.01
Кемеровская область,2008,64.64
Новосибирская область,2008,68.0
Омская область,2008,67.54
Томская область,2008,67.66
Республика Бурятия,2008,64.37
Республика Саха (Якутия),2008,65.78
Приморский край,2008,65.5
Хабаровский край,2008,65.27
Амурская область,2008,63.53
Магаданская область,2008,63.7
Сахалинская область,2008,64.39
Еврейская автономная область,2008,62.66
Чукотский автономный округ,2008,59.65
Белгородская область,2009,71.07
Брянская область,2009,67.86
Владимирская область,2009,66.23
Воронежская область,2009,68.94
Ивановская область,2009,66.72
Калужская область,2009,67.56
Костромская область,2009,67.17
Курская область,2009,68.06
Липецкая область,2009,68.44
Московская область,2009,68.21
Орловская область,2009,68.68
Рязанская область,2009,67.69
Смоленская область,2009,65.55
Тамбовская область,2009,68.78
Тверская область,2009,65.3
Тульская область,2009,66.69
Ярославская область,2009,68.59
г. Москва,2009,73.61
Республика Карелия,2009,66.56
Республика Коми,2009,66.54
Архангельская область,2009,67.62
Вологодская область,2009,67.27
Калининградская область,2009,67.67
Ленинградская область,2009,66.73
Мурманская область,2009,67.19
Новгородская область,2009,64.47
Псковская область,2009,64.52
г. Санкт-Петербург,2009,71.19
Республика Адыгея,2009,69.97
Республика Калмыкия,2009,68.61
Краснодарский край,2009,70.66
Астраханская область,2009,68.31
Волгоградская область,2009,69.49
Ростовская область,2009,69.54
Республика Дагестан,2009,73.98
Республика Ингушетия,2009,78.31
Кабардино-Балкарская Республика,2009,72.08
Карачаево-Черкесская Республика,2009,71.54
Республика Северная Осетия - Алания,2009,71.93
Ставропольский край,2009,70.28
Республика Башкортостан,2009,69.01
Республика Марий Эл,2009,67.08
Республика Мордовия,2009,69.06
Республика Татарстан,2009,70.82
Удмуртская Республика,2009,68.26
Чувашская Республика,2009,68.98
Кировская область,2009,67.92
Нижегородская область,2009,67.06
Оренбургская область,2009,67.86
Пензенская область,2009,69.38
Самарская область,2009,68.2
Саратовская область,2009,69.1
Ульяновская область,2009,68.75
Курганская область,2009,67.38
Свердловская область,2009,68.39
Тюменская область,2009,69.49
Челябинская область,2009,68.26
Республика Алтай,2009,65.82
Республика Тыва,2009,60.04
Республика Хакасия,2009,67.25
Алтайский край,2009,68.52
Красноярский край,2009,67.63
Иркутская область,2009,65.45
Кемеровская область,2009,65.37
Новосибирская область,2009,68.94
Омская область,2009,68.72
Томская область,2009,68.06
Республика Бурятия,2009,65.27
Республика Саха (Якутия),2009,66.45
Приморский край,2009,66.72
